"","Seu vínculo atual com a USP é como","Gênero","Cor (IBGE)"
"233","Estudante","Masculino","Parda"
"234","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"235","Estudante","Feminino","Branca"
"236","Estudante","Feminino","Branca"
"237","Estudante","Masculino","Branca"
"238","Estudante","Feminino","Branca"
"239","Docente","Feminino","Amarela"
"240","Docente","Feminino","Branca"
"241","Estudante","Feminino","Branca"
"242","Estudante","Masculino","Branca"
"243","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Preta"
"244","Estudante","Masculino","Branca"
"245","Estudante","Feminino","Branca"
"246","Docente","Masculino","Amarela"
"247","Docente","Feminino","Branca"
"248","Estudante","Feminino","Branca"
"249","Estudante","Masculino","Branca"
"250","Docente","Feminino","Branca"
"251","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"252","Estudante","Masculino","Branca"
"253","Docente","Masculino","Branca"
"254","Docente","Feminino","Branca"
"255","Docente","Masculino","Branca"
"256","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"257","Estudante","Masculino","Branca"
"258","Docente","Masculino","Branca"
"259","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"260","Docente","Masculino","Amarela"
"261","Estudante","Masculino","Branca"
"262","Estudante","Feminino","Branca"
"263","Estudante","Feminino","Branca"
"264","Estudante","Masculino","Branca"
"265","Docente","Feminino","Branca"
"266","Estudante","Feminino","Branca"
"267","Docente","Feminino","Branca"
"268","Docente","Feminino","Branca"
"269","Estudante","Masculino","Amarela"
"270","Estudante","Feminino","Branca"
"271","Estudante","Feminino","Amarela"
"272","Docente","Feminino","Branca"
"273","Estudante","Masculino","Branca"
"274","Estudante","Masculino","Amarela"
"275","Estudante","Masculino","Amarela"
"276","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"277","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"278","Estudante","Masculino","Parda"
"279","Docente","Feminino","Branca"
"280","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"281","Estudante","Masculino","Branca"
"282","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"283","Docente","Feminino","Branca"
"284","Estudante","Masculino","Branca"
"285","Estudante","Feminino","Branca"
"286","Estudante","Feminino","Branca"
"287","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"288","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"289","Estudante","Masculino","Branca"
"290","Docente","Masculino","Branca"
"291","Docente","Masculino","Amarela"
"292","Estudante","Masculino","Parda"
"293","Docente","Masculino","Branca"
"294","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"295","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"296","Docente","Masculino","Branca"
"297","Docente","Masculino","Branca"
